Title,Channel,Publish Date,Video URL,View Count
North Wales Travel Vlog - Conwy Castle &amp; Snowdonia,SandyMakesSense,2019-12-29T14:00:04Z,https://www.youtube.com/watch?v=Ude9AnhVUxY,18365,380,137,0
"भारत से विदेश वाले जहाज | Top international cruise ship,",aapke Facts,2019-12-28T13:53:15Z,https://www.youtube.com/watch?v=-sFmSwDsIvs,404039,4448,74,0
North Korea Travel Vlog - Rozz Recommends Season 3: EP4,Clicknetwork,2019-12-27T06:08:57Z,https://www.youtube.com/watch?v=xHypiQpL2yQ,1337620,29413,2434,0
"CHERNOBYL - INSIDE A GHOST TOWN (NO ONE LIVES HERE) , UKRAINE",yatri doctor,2019-12-27T03:30:00Z,https://www.youtube.com/watch?v=Ex6zIXMYwdw,199932,7027,471,0
How to WRITE ON TEXT in ADOBE PREMIERE PRO (Great for travel videos &amp; vlogs!),cineguac,2019-12-26T17:44:55Z,https://www.youtube.com/watch?v=sM_DUkdWEeE,440845,8123,282,0
"12 things to do in SEVILLE, Spain |  Voted as Lonely Planet&#39;s Top 10 &#39;Best in Travel&#39; | Travel Guide",Kristina's Travels,2019-12-25T23:51:33Z,https://www.youtube.com/watch?v=kb08lxcVXOs,1046606,10372,404,0
WHAT Not To Do in Mexico- 10 Most Common Tourist Mistakes !,Jon Barr,2019-12-25T15:55:39Z,https://www.youtube.com/watch?v=oU9oa-yWnb8,224333,4286,350,0
Travelling First Time In Vande Bharat Train😱 | Going To Vaishno Devi,GAURAV ZONE,2019-12-24T16:11:57Z,https://www.youtube.com/watch?v=PEDyATF7VuQ,2073100,96834,2505,0
How to Travel Bali | Indonesia Travel Guide | Sinhala Travel Guide,Travel With Wife,2019-12-24T15:13:59Z,https://www.youtube.com/watch?v=TGN3TaV_7TE,300571,9685,671,0
Goa Packing Checklist: 16 Essential Things To Pack For Your Goa Trip in 2024 (हिन्दी में),Tourism Bharat,2019-12-24T10:41:25Z,https://www.youtube.com/watch?v=iFh1XNLYR20,703733,12053,171,0
Road Trip | BakLol Video,BakLol Video,2019-12-22T09:30:18Z,https://www.youtube.com/watch?v=aMFyngPz4Jk,39452204,273572,3518,0
I Could&#39;ve Got Kicked Out For This At The Ariana Grande Concert... Sweetener Tour in Las Vegas,Leah Ashley,2019-12-22T00:04:02Z,https://www.youtube.com/watch?v=aLEi4zFvc5U,5964043,123071,17618,0
Exploring Dubai in Alphabetical Order!!!,SIS vs BRO,2019-12-21T12:30:04Z,https://www.youtube.com/watch?v=x5qzpyv780A,23866083,227827,0,0
Eating EXOTIC FOODS IN NAGALAND INDIA | Tamil Travel Vlog,Tamil Trekker,2019-12-21T10:51:40Z,https://www.youtube.com/watch?v=J83XfzRxtz8,24572,952,102,0
"2HYPE $10,000 MIAMI HOLIDAY TRIP!",Jesser,2019-12-21T00:46:24Z,https://www.youtube.com/watch?v=89fB-4WIVWM,1202213,34269,1678,0
Family Trip to Chicago | Travel Vlog,Tia Mowry's Quick Fix,2019-12-20T15:00:04Z,https://www.youtube.com/watch?v=NM0rYteX0DU,631742,14017,1342,0
Patna Chor bazaar Travel Vlog | पटना चोर बाजार का सच,Bharat Darshan Vlog,2019-12-20T12:30:10Z,https://www.youtube.com/watch?v=_1rTJUofjJs,319801,4339,253,0
Brown People During A Road Trip Ft. Mr Jack Vlogs || Unique MicroFilms,Unique MicroFilms,2019-12-20T11:00:01Z,https://www.youtube.com/watch?v=7i6pfBBam6s,1364057,19996,159,0
"Travel To Azerbaijan | Azerbaijan Facts ,Documentary And Discovery | Jani TV |  آذربائیجان  کی سیر",Jani TV,2019-12-19T11:42:45Z,https://www.youtube.com/watch?v=DriHXvRlEf8,1849880,36116,1977,0
বাংলাদেশ যাচ্ছি ইয়াহু !!  EMIRATES BUSINESS CLASS | VLOG20 | Shahnaz Shimul Vlogz,Shahnaz Shimul Vlogz,2019-12-19T04:15:01Z,https://www.youtube.com/watch?v=FTqfV7DE8tY,1731861,33962,1652,0
A Week in D.R. CONGO 🇨🇩(country #185),Drew Binsky,2019-12-17T18:50:37Z,https://www.youtube.com/watch?v=CdplXirnQjY,579596,16141,1645,0
Winter Storm In a Van - Living The Van Life,Living The Van Life,2019-12-16T21:25:24Z,https://www.youtube.com/watch?v=aNWaFxIVbQM,19942497,356628,18230,0
THIS IS THE MOST EXPENSIVE PLANE TICKET IN THE WORLD | Etihad A380 The Residence,CaseyNeistat,2019-12-16T18:57:27Z,https://www.youtube.com/watch?v=FtlF-6TnMuo,43781259,844722,30121,0
How to grow travel channel on youtube | Srilanka|Sinhala,Ushan Bro,2019-12-15T15:08:39Z,https://www.youtube.com/watch?v=C2RV4cSmmi8,9960,622,58,0
A Day In The Life At AMERICAN PUBLIC SCHOOL,Max Reisinger,2019-12-15T12:30:15Z,https://www.youtube.com/watch?v=FGvdNUgC5Kk,9897325,378579,25316,0
