Title,Channel,Publish Date,Video URL,View Count,Country
North Korea Travel Vlog - Rozz Recommends Season 3: EP4,Clicknetwork,2019-12-27T06:08:57Z,https://www.youtube.com/watch?v=xHypiQpL2yQ,1337601,
How to WRITE ON TEXT in ADOBE PREMIERE PRO (Great for travel videos &amp; vlogs!),cineguac,2019-12-26T17:44:55Z,https://www.youtube.com/watch?v=sM_DUkdWEeE,440776,
"12 things to do in SEVILLE, Spain |  Voted as Lonely Planet&#39;s Top 10 &#39;Best in Travel&#39; | Travel Guide",Kristina's Travels,2019-12-25T23:51:33Z,https://www.youtube.com/watch?v=kb08lxcVXOs,1045589,Netherlands
How to Travel Bali | Indonesia Travel Guide | Sinhala Travel Guide,Travel With Wife,2019-12-24T15:13:59Z,https://www.youtube.com/watch?v=TGN3TaV_7TE,300502,
Goa Packing Checklist: 16 Essential Things To Pack For Your Goa Trip in 2024 (हिन्दी में),Tourism Bharat,2019-12-24T10:41:25Z,https://www.youtube.com/watch?v=iFh1XNLYR20,703610,Philippines
TRAVELING ALONE + DAY 1 IN JAPAN VLOG #5,Kleng Rayo,2019-12-17T07:48:30Z,https://www.youtube.com/watch?v=A5o_CAqyCbk,1364,
Winter Storm In a Van - Living The Van Life,Living The Van Life,2019-12-16T21:25:24Z,https://www.youtube.com/watch?v=aNWaFxIVbQM,19938374,Turkey
THIS IS THE MOST EXPENSIVE PLANE TICKET IN THE WORLD | Etihad A380 The Residence,CaseyNeistat,2019-12-16T18:57:27Z,https://www.youtube.com/watch?v=FtlF-6TnMuo,43777737,Czechia
A Day In The Life At AMERICAN PUBLIC SCHOOL,Max Reisinger,2019-12-15T12:30:15Z,https://www.youtube.com/watch?v=FGvdNUgC5Kk,9889774,
EP 14 Meghalaya Tour complete Travel Guide | North East India,visa2explore,2019-12-11T07:30:00Z,https://www.youtube.com/watch?v=94_Dzs-UVSU,1157155,
PIHU KI SCHOOL TRIP | A short movie | Aayu and Pihu Show,Aayu and Pihu Show,2019-12-09T08:30:02Z,https://www.youtube.com/watch?v=x0a16nNwnOA,29161535,
"Inside Transylvania - EPIC ROMANIAN FOOD + Wild Stews in Brasov, Romania!",Mark Wiens,2019-12-08T13:00:10Z,https://www.youtube.com/watch?v=neRg60drdeE,3535487,
Meet Cycle Baba&#39;s World Travel Bicycle&quot;Dhanno&quot; || Ep 207,Cycle Baba,2019-12-07T01:27:43Z,https://www.youtube.com/watch?v=xz_ebYeCSqs,1179752,
10 Things To Do In Kolkata | Part 1 | Ok Tested,OK Tested,2019-12-06T14:44:59Z,https://www.youtube.com/watch?v=vyk0wE8KHvk,1639710,
How to START and Grow a TRAVEL YouTube Channel from ZERO— 5 Tips,Video Influencers,2019-12-05T11:30:01Z,https://www.youtube.com/watch?v=IyUTgzwRmwg,90896,
TOP 10 Things to do in BUDAPEST | Hungary Travel Guide in 4K,Hungry Passport,2019-12-04T17:00:14Z,https://www.youtube.com/watch?v=luDSbWpzWG8,1760167,Hungary
Klipper håret innan resan VLOGG,THE SWEDISH FAMILY,2019-12-04T14:00:08Z,https://www.youtube.com/watch?v=gFsVGlsQ17w,875214,
